Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;291160000,0;167360000,0;850000,0;16930000,0;1760000,0;666920000,0;122790000,0;-498550000,0;179060000,0;85350000,0;42120000,0;39020000,0;-38600000,0;-4730000,0;-4310000,0;86160000,0;-1210000,0;;;;;;;;ESTR4;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;0,0;0,0;0,0;-616,7501700995856;-0,18755220417633411;4,9;;0,0;123800000,0;789710000,0;85310000,0;0,10437842064112587;-2,784262258460851;0,476655869540936;-0,024070144085781304;0,2179157824193008;0,23522841505640568;115,67285382830626;-0,08314944591284949;-0,014802857535375738;2,025403608736942;-0,02872744539411206;2,8166170465337133;-0,1711162370875539;1,0911917098445596;0,2509446410364062;0,0012745156840400648;-0,1212198872373142;0,6625483636769798
2020;244650000,0;127280000,0;7010000,0;18020000,0;1750000,0;603210000,0;135670000,0;-494230000,0;138560000,0;70370000,0;28340000,0;25160000,0;-40850000,0;;-15700000,0;67110000,0;-12520000,0;;;;;;;;ESTR4;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;-1,39;0,0;-0,04;-611,4059503927754;-0,051487261146496814;-3,9;;0,0;117370000,0;738880000,0;60100000,0;0,14268187066974597;-3,5669024249422634;0,5078666281755196;-0,11330831408775982;0,18158198614318707;0,2045323325635104;31,479617834394904;;-0,06417330880850194;2,1206774876499646;-0,4417784050811574;4,186164784756528;-0,12160330210630678;0,6937576499388005;0,21100445947514132;0,011621160126655726;;0,856206047921478
2019;205960000,0;86160000,0;2340000,0;21950000,0;1740000,0;550230000,0;134270000,0;-478540000,0;112160000,0;56310000,0;-2720000,0;-6610000,0;-34270000,0;;-40870000,0;50590000,0;-36990000,0;;;;;;;;ESTR4;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;-0,7;0,0;-0,06;-591,9960413187357;-0,019778566185466112;-11,86;;0,0;119800000,0;684500000,0;48250000,0;0,21121611982881597;-4,266583452211127;0,5020506419400856;-0,3643901569186876;-0,05893366619115549;-0,024251069900142655;11,708832884756545;;-0,1984365896290542;-17,738970588235293;13,599264705882353;-43,61614338235294;-0,1008275170309692;-0,07936971111759557;0,15658906275557494;0,004252767024698762;;1,0577381419400855
2018;208830000,0;89180000,0;340000,0;23310000,0;1720000,0;514909999,99999994;131470000,0;-437550000,0;135270000,0;63530000,0;;17710000,0;-46260000,0;;-28560000,0;58800000,0;-24970000,0;;;;;;;;ESTR4;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;-0,35;0,01;-0,02;-541,2878084987939;-0,028303571428571428;0,65;;0,0;119650000,0;646380000,0;58460000,0;0,18503733274192355;-3,2346418274561985;0,4696532860205515;-0,21113328897760036;0,13092333850816884;;15,320378151260504;;-0,13676195948857922;;;;-0,13360758770426237;;0,17319531568623645;0,0006603095686624848;;0,8770304576033119
2017;225240000,0;108510000,0;2940000,0;23410000,0;1650000,0;523309999,99999994;137930000,0;-436000000,0;142740000,0;79310000,0;;-5590000,0;-37990000,0;;-43580000,0;56380000,0;-42910000,0;;;;;;;;ESTR4;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;-4,12;0,14;-0,41;-539,3703222613967;-0,01854864616796696;3,44;;0,0;116730000,0;661240000,0;53440000,0;0,17556396244920836;-3,054504693848956;0,5556256130026622;-0,30531035449068233;-0,039162112932604735;;10,004589261128958;;-0,19348250754750487;;;;-0,12256880733944954;;0,20735319409145633;0,005618084882765474;;0,8311328989771612
2022;;;;;;;;;;;;;;;;;;118635910;0;PN;14450,00;808350;;1145;ESTR4;Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
