Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;11654470000,0;4169950000,0;1957830000,0;5507420000,0;1519760000,0;1428920000,0;5796260000,0;4429290000,0;1706850000,0;113840000,0;446570000,0;-359550000,0;-295240000,0;21770000,0;-633020000,0;3590490000,0;538570000,0;;;;;;;;SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;-14,78;-2,46;2,12;7,555391487631149;-0,926103897191242;21,63;;0,0;7484520000,0;7225180000,0;1632660000,0;4,117046020447022;2,5950083487125406;0,0666959603948794;-0,370870316665202;-0,2106511995781703;0,2616340041597094;-0,14291681059492606;-0,0421183623490918;-0,0543156402650656;3,656000179143248;1,2060147345321002;21,318971442327072;0,3686053520993206;1,5125660479609808;2,9182529462811075;1,370146684209053;-0,0605479071061048;5,577767863022527
2020;8492500000,0;1311050000,0;1019610000,0;5152020000,0;1540880000,0;1084590000,0;4939100000,0;2468800000,0;1256240000,0;-10380000,0;326230000,0;-393700000,0;-261350000,00000003;50630000,0;-604430000,0;2616070000,0;311600000,0;;;;;;;;SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;;;;4,2112280985584105;-0,9699093178697286;18,59;;0,0;7181450000,0;6023700000,0;1596460000,0;5,327724001783099;1,965229573966758;-0,0082627523403171;-0,4811421384448831;-0,3133955295166529;0,2596876393045915;-0,24482744653272845;-0,0674687848460236;-0,0711722107742125;4,893663979401036;0,955154338963308;29,18313176899733;0,6466542449773169;1,2482494738855938;1,2087977945583124;0,9400879595054352;-0,1286004572009144;7,578498596605744
2019;7414020000,0;1633710000,0;1351380000,0;4425340000,0;1185860000,0;1243820000,0;3902750000,0;2267450000,0;1983950000,0;733970000,0;619300000,0;90220000,0;-388800000,0;-40690000,0;-339270000,0;2206650000,0;994090000,0;;;;;;;;SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;;;;3,867769423232448;-1,727952041147169;;;0,0;5780310000,0;5146570000,0;855270000,0;2,8282970840999018;1,142896746389778;0,3699538798860858;-0,1710073338541798;0,0454749363643237;0,3121550442299453;-0,14962623211096165;0,0110703828702979;-0,0457605995128149;1,381026965929275;1,6051832714354917;15,37286141934442;0,3771946459679375;1,5928497942386832;1,313461754916306;1,0864755350452635;-0,4510086455331412;4,798716236296277
2018;3848900000,0;894410000,0;666780000,0;1722570000,0;1146680000,0;895120000,0;1747250000,0;1206530000,0;1160030000,0;352650000,0;;505200000,0;-121020000,0;-27220000,0;356960000,0;1809000000,0;303800000,0;;;;;;;;SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;;;;2,058073978351296;1,6423192766696548;;;0,0;2954490000,0;2642370000,0;1142220000,0;2,473427411360051;1,0400851702111151;0,3040007586010707;0,3077161797539718;0,4355059782936648;;0,2958567130531359;0,1585061332502081;0,0927433812258047;;;;0,9466983829660264;;0,9992068102600768;0,7449057109661275;-0,0538796516231195;8,20704040154134
2017;1945330000,0;934960000,0;807730000,0;713240000,0;136150000,0;607270000,0;927140000,0;411940000,0;745560000,0;215710000,0;;59000000,0;-63870000,0;-6730000,0;-11590000,0;1236970000,0;197470000,0;;;;;;;;SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;;;;0,7026787519929324;-50,58173330457291;;;0,0;1010370000,0;1533390000,0;429240000,0;1,1392644455174634;0,5525242770534899;0,2893261441064435;-0,0155453618756371;0,0791351467353398;;-0,028135165315337184;0,0316997289118266;-0,005957858049791;;;;1,0419964072437733;;1,5396117048429858;1,3301002848815189;-0,1140677966101695;12,769479420838028
2022;;;;;;;;;;;;;;;;;;9520413077,0;0,0;ON;18965989,69;586242289,0;Novo Mercado;0,0;SMFT3;Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
