Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;58924000000,0;30838000000,0;6945000000,0;17417000000,0;2342000000,0;29076000000,0;11452000000,0;18396000000,0;77751000000,0;14876000000,0;6340000000,0;5117000000,0;-786000000,0;-965000000,0;3366000000,0;9030000000,0;5543000000,0;;;;;;;;CRFB3;Consumo não Cíclico;Comércio e Distribuição;Alimentos;5,95;9,63;0,54;1,77;9,261792680993697;0,5900845365418895;10,34;21,78;58,49;28086000000,0;40528000000,0;2085000000,0;0,25413177965556716;0,23660145850214145;0,19132872889094674;0,043292047690704945;0,06581265835809186;0,08154235958379956;0,18297455968688844;0,15138919273681908;0,057124431471047454;0,32886435331230285;0,8742902208201893;7,455782232492114;0,11333985649054142;8,06615776081425;1,0605998074012932;0,23885678910441602;-0,18858706273206957;0,6079620757803759
2020;51824000000,0;25413000000,0;5672000000,0;15465000000,0;2323000000,0;24720000000,0;10059000000,0;17045000000,0;71191000000,0;13918000000,0;5596000000,0;4504000000,0;-579000000,0;-1081000000,0;2844000000,0;5778000000,0;5416000000,0;;;;;;;;CRFB3;Consumo não Cíclico;Comércio e Distribuição;Alimentos;1,28;14,41;;2,45;8,581607754269275;0,6983911919831224;11,38;28,38;18,05;26411000000,0;34779000000,0;106000000,0;0,2498630444859603;0,23942633198016602;0,1955022404517425;0,03994886994142518;0,06326642412664522;0,07860544169909117;0,16685244939865063;0,14998028304780264;0,054878048780487805;0,018942101501072194;0,9678341672623302;8,44704420192995;0,006218832502200059;9,664939550949914;1,0280339805825243;0,22944983818770226;-0,2400088809946714;0,6639836405444508
2019;44912000000,0;22155000000,0;5322000000,0;12915000000,0;2328000000,0;20059000000,0;10148000000,0;14705000000,0;60064000000,0;12449000000,0;3852000000,0;2781000000,0;-502000000,0;-951000000,0;1328000000,0;4484000000,0;4553000000,0;;;;;;;;CRFB3;Consumo não Cíclico;Comércio e Distribuição;Alimentos;1,21;45,72;;3,43;7,403493225375751;1,495651016566265;10,32;13,92;47,58;22757000000,0;30207000000,0;-838000000,0;0,2537793020777837;0,244822189664358;0,2072622535961641;0,022109749600426214;0,04630061267980821;0,06413159296750133;0,0903094185651139;0,09536713742248162;0,029568934805842537;-0,21754932502596053;1,1819833852544133;12,271458814641745;-0,056987419245154707;7,673306772908367;1,1044917493394486;0,26531731392392444;-0,3419633225458468;0,7869882018180607
2018;36677000000,0;17898000000,0;4647000000,0;10472000000,0;2286000000,0;16746000000,0;5884000000,0;14047000000,0;54267000000,0;11381000000,0;3891000000,0;3117000000,0;-361000000,0;-893000000,0;1863000000,0;1913000000,0;3892000000,0;;;;;;;;CRFB3;Consumo não Cíclico;Comércio e Distribuição;Alimentos;1,94;21,6;;2,75;7,0722114475928715;1,06614307568438;;;28,31;18779000000,0;22630000000,0;-2734000000,0;0,2350968360145208;0,2588497613651022;0,20972229900307737;0,03433025595665874;0,05743822212394273;0,0717010337774338;0,1326261835267317;0,1393483709273183;0,05079477601766775;-0,7026471344127474;1,0002570033410434;12,148460383962991;-0,19463230583042643;10,778393351800554;1,0687925474740236;0,2774991042637048;-0,28649342316329807;0,8710571683343469
2017;33878000000,0;16758000000,0;4804000000,0;9597000000,0;2236000000,0;16284000000,0;4454000000,0;13140000000,0;50280000000,0;10257000000,0;3785000000,0;3104000000,0;-660000000,0;-731000000,0;1713000000,0;2477000000,0;;;;;;;;;CRFB3;Consumo não Cíclico;Comércio e Distribuição;Alimentos;;;;;6,615566200709784;1,1595006129597198;;;;17120000000,0;20738000000,0;-2327000000,0;0,23534208432776452;0,2613365155131265;0,20399761336515512;0,03406921241050119;0,06173428798727128;0,07527844073190135;0,13036529680365297;0,15194979829672792;0,05056378770883759;-0,6147952443857332;;12,488681467371203;-0,17709284627092847;5,734848484848484;1,029108327192336;0,29501351019405553;-0,23550257731958762;0,9401284676610978
2022;;;;;;;;;;;;;;;;;;47269659354;100;ON;85162491,44;1986224550;Novo Mercado;21327;CRFB3;Consumo não Cíclico;Comércio e Distribuição;Alimentos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
