Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;272630000,0;49600000,0;22590000,0;198820000,0;6780000,0;134280000,0;80160000,0;58180000,0;93150000,0;46690000,0;50570000,0;29950000,0;-18510000,0;-3990000,0;7450000,0;189760000,0;63130000,0;;;;;;;;MSRO3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;2,236847468;3,491251007;9,2;-10,29;0,0;223030000,0;214450000,0;167170000,0;2,2071927;0,624584004;0,501234568;0,079978529;0,321524423;0,542887815;0,12805087658989345;0,104702751;0,027326413;3,305714851;1,248368598;364,4314524;2,873324166;2,732036737;0,36937742;0,168230563;-0,133222037;197,8453951
2020;241080000,0;68020000,0;23750000,0;148830000,0;7580000,0;77770000,0;112590000,0;50730000,0;118810000,0;35710000,0;36160000,0;17880000,0;-16550000,0;-260000,0;1070000,0;172770000,0;89470000,0;;;;;;;;MSRO3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;1,950417189;24,30824299;14,18;0,0;0,0;173060000,0;190350000,0;149020000,0;1,316471677;0,426984261;0,300563926;0,009005976;0,150492383;0,304351486;0,021092055982653263;0,078836689;0,004438361;4,121128319;2,474280973;509,659805;2,93751232;2,18489426;0,87463032;0,305387682;-0,014541387;155,1157188
2019;259280000,0;71120000,0;5190000,0;159010000,0;8490000,0;74930000,0;134690000,0;49660000,0;91950000,0;30140000,0;38010000,0;21250000,0;-19970000,0;-360000,0;920000,0;182470000,0;67400000,0;;;;;;;;MSRO3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;1,90927888;28,27154348;15,89;-13,57;0,0;188160000,0;209620000,0;177280000,0;1,821642197;0,540076128;0,327786841;0,010005438;0,231103861;0,413376835;0,01852597664115989;0,089992677;0,003548288;4,66403578;1,773217574;484,8539476;3,569875151;1,903355033;0,949152542;0,069264647;-0,016941176;200,4273904
2018;218280000,0;53290000,0;35020000,0;140350000,0;7220000,0;52350000,0;117190000,0;48740000,0;63070000,0;22290000,0;;13890000,0;-15320000,0;270000,0;-1160000,0;144490000,0;39560000,0;;;;;;;;MSRO3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;1,873907624;-22,42225862;3,85;0,0;0,0;164990000,0;169540000,0;109470000,0;2,339781195;0,772792136;0,353416838;-0,018392263;0,220231489;;-0,02379975379565039;0,073280546;-0,005314275;;;;2,245999179;;1,017956065;0,66895893;0,019438445;292,2038774
2017;136320000,0;24380000,0;11240000,0;93030000,0;5000,0;;43790000,0;49900000,0;70990000,0;21210000,0;11870000,0;11870000,0;-10820000,0;-670000,0;380000,0;76570000,0;53650000,0;;;;;;;;MSRO3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;1,918506164;68,44689474;9,87;-33,97;0,0;111940000,0;86420000,0;65330000,0;1,310536695;0,702915904;0,298774475;0,005352867;0,167206649;0,167206649;0,007615230460921844;0,088558551;0,002787559;5,50379107;4,51979781;1552,594655;1,309218437;1,097042514;;;-0,056444819;259,6041492
2022;;;;;;;;;;;;;;;;;;18429298550,0;0,0;ON;0,0;26009820,0;;0,0;MSRO3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
