Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;25312060000;6942870000;444140000;17293850000;143030000;4984500000;12710470000;7617090000;10901340000;4698770000;3697570000;3224070000;-320940000;-859450000;2043680000;12433100000;2928530000;;;;;;;;RENT3;Consumo Cíclico;Diversos;Aluguel de carros;0,84;19,67;0,21;5,28;10,04274848;0,371127902;19,68;37,93;30,92;18369190000;17694970000;11988960000;1,599517124;0,698729697;0,431026828;0,187470531;0,29574988;0,339184908;3,727144171;0,117935042;0,080739379;3,24238892;0,792014756;13,74869717;1,573955408;11,52106313;1,392891965;0,089104223;-0,266572996;4,663350578
2020;20441130000;5569620000;2586390000;14181300000;152090000;4296390000;10092090000;6052660000;10307620000;2898970000;2468070000;1801730000;-374410000;-379140000;1048180000;10497720000;7874470000;;;;;;;;RENT3;Consumo Cíclico;Diversos;Aluguel de carros;0,5;49,89;0;8,64;7,980126536;0,723603456;21,28;21,1;26,64;14871510000;14388470000;7911330000;1,390562516;0,587202477;0,281245331;0,101689818;0,174795928;0,239441307;5,774447137;0,085955126;0,051277987;3,205472292;3,190537546;20,59778296;1,307083167;6,591891242;1,296348795;0,601991439;-0,210431086;4,931960063
2019;19392960000;4494080000;2220100000;14569570000;139940000;3522250000;10423180000;5447530000;10195640000;2509690000;2212760000;1489630000;-409790000;-245900000;833940000;9379460000;8191830000;;;;;;;;RENT3;Consumo Cíclico;Diversos;Aluguel de carros;0,88;41,07;0;6,29;7,182293192;0,90949789;21,24;15,22;34,9;14898880000;13945430000;7159360000;1,442725518;0,534299956;0,246153258;0,081793786;0,146104609;0,217030025;6,5322805;0,083882838;0,043002203;3,235488711;3,702086986;22,97437146;1,314239665;5,399741331;1,275911704;0,630307332;-0,165074549;4,986128403
2018;13992410000;3693810000;2175300000;10031890000;78490000;3339420000;7558490000;3094500000;7895800000;2069890000;;1254640000;-368910000;-226520000;659210000;7645980000;5897490000;;;;;;;;RENT3;Consumo Cíclico;Diversos;Aluguel de carros;0,91;30,11;0,99;6,41;4,07994197;1,150569121;17,63;11,39;28,24;10298600000;10897910000;5470680000;1,280475696;0,391917222;0,262150764;0,08348869;0,158899668;;4,694255245;0,095723841;0,04711197;;;;1,767872031;;1,106123219;0,651400543;-0,180545814;6,438457178
2017;11186230000;3430990000;1338200000;7483970000;83440000;2234100000;6351410000;2600730000;6058280000;1647420000;;969130000;-315000000;-148460000;505680000;6477680000;4485930000;;;;;;;;RENT3;Consumo Cíclico;Diversos;Aluguel de carros;2,78;9,7;0,41;1,89;3,428931162;1,499894538;13,85;15,98;;7755240000;8585500000;5139480000;1,249102055;0,42928521;0,271928666;0,083469235;0,159967846;;5,143035121;0,090397988;0,045205579;;;;1,97616823;;1,535736986;0,598988407;-0,153188943;8,391287657
2022;;;;;;;;;;;;;;;;;;50836770188;100;ON;356184808,5;758466670;Novo Mercado;39358;RENT3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
