Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;21715850000,0;9146960000,0;146030000,0;12140030000,0;175040000,0;3751190000,0;14680190000,0;3284470000,0;5332620000,0;2386550000,0;2082990000,0;1666740000,0;-484970000,0;-362330000,0;819440000,0;14765670000,0;4696560000,0;;;;;;;;MOVI3;Consumo Cíclico;Diversos;Aluguel de carros;3,3;6,98;0,01;1,74;9,065556415;0,442133757;23,01;83,21;59,18;12568890000,0;18431380000,0;14619640000,0;2,309384505;0,615920504;0,447537983;0,153665553;0,312555554;0,390612869;0,24948926310789868;0,072265921;0,03773465;7,018583863;2,254720378;6,802685663;4,45114128;4,295090418;2,438415543;0,03892898;-0,217388435;2,657216567
2020;8502630000,0;2380200000,0;68650000,0;5738750000,0;141720000,0;2448240000,0;3695710000,0;2358680000,0;4085260000,0;865480000,0;717180000,0;304300000,0;-165320000,0;-29960000,0;109030000,0;4406960000,0;3323600000,0;;;;;;;;MOVI3;Consumo Cíclico;Diversos;Aluguel de carros;0,95;56,62;0,0;2,62;6,510257852;3,322957773;27,48;10,21;40,36;6122430000,0;6143950000,0;4338310000,0;1,439435923;0,577363497;0,211854325;0,026688632;0,074487303;0,175553086;0,0462250072074211;0,040549009;0,012823091;6,049122954;4,63426197;19,75783793;1,839295708;4,338132107;0,972208607;0,028040552;-0,098455472;3,468549422
2019;7242820000,0;1949180000,0;72230000,0;5063360000,0;106770000,0;2239380000,0;2702440000,0;2301000000,0;3836040000,0;939610000,0;746560000,0;468190000,0;-187330000,0;-53040000,0;227820000,0;3144190000,0;3061030000,0;;;;;;;;MOVI3;Consumo Cíclico;Diversos;Aluguel de carros;1,24;22,11;0,0;2,19;6,351053689;1,590299737;133,51;116,71;47,19;5293640000,0;4941820000,0;3071960000,0;1,347777917;0,599837332;0,244942701;0,05938937;0,122050344;0,194617366;0,09900912646675358;0,0762416;0,031454599;4,114819974;4,10017949;18,98029122;1,335054324;3,985266642;0,87041056;0,032254463;-0,113287341;3,693894279
2018;5192300000,0;1435940000,0;259480000,0;3647350000,0;47920000,0;1642880000,0;1890580000,0;1658840000,0;2538600000,0;806640000,0;;379730000,0;-172790000,0;-47190000,0;159750000,0;2265930000,0;1884390000,0;;;;;;;;MOVI3;Consumo Cíclico;Diversos;Aluguel de carros;4,3;11,49;0,08;1,11;4,578610127;2,267931681;;;46,95;3756360000,0;3533460000,0;2006450000,0;1,455633026;0,653446782;0,317749941;0,062928386;0,149582447;;0,0963022352969545;0,084728532;0,030766712;;;;1,209550047;;0,874038274;0,15794215;-0,124272509;5,581787682
2017;4006470000,0;1161340000,0;411380000,0;2799630000,0;23740000,0;1615780000,0;1105850000,0;1284840000,0;2467980000,0;644870000,0;;252110000,0;-161800000,0;-24570000,0;66470000,0;1861040000,0;1887370000,0;;;;;;;;MOVI3;Consumo Cíclico;Diversos;Aluguel de carros;;22,64;0,34;1,17;3,546322391;5,450610591;;;;2845130000,0;2721630000,0;1449660000,0;1,144000357;0,520603895;0,261294662;0,026932957;0,102152368;;0,0517340680551664;0,072329523;0,016590665;;;;1,128280564;;0,71874884;0,254601493;-0,097457459;5,741507715
2022;;;;;;;;;;;;;;;;;;14169926210,0;100,0;ON;52123124,45;362302086,0;Novo Mercado;362302086,0;MOVI3;Consumo Cíclico;Diversos;Aluguel de carros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
