Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;3447350000,0;1362700000,0;673670000,0;1401390000,0;624170000,0;699600000,0;988490000,0;1759260000,0;2097530000,0;1012870000,0;247920000,0;162200000,0;-67340000,0;-19830000,0;75040000,0;226080000,0;379470000,0;;;;;;;;PETZ3;Consumo Cíclico;Comércio;Produtos Diversos;0,26;94,91;3,33;4,05;3,824975549266791;6,129266990938167;;;0,0;2084650000,0;1688090000,0;-447590000,0;0,965688214232931;0,8387293626312853;0,4828870147268453;0,0357754120322474;0,0773290489289783;0,118196164059632;0,04265429782976934;0,0717106389837509;0,021767444558864;-1,805380767989674;1,5306147144240076;23,25994911261697;-0,2544194718233802;3,6816156816156815;1,9478273299028013;0,9629359634076616;-0,1222564734895191;2,7492367613335684
2020;1892890000,0;886280000,0;443760000,0;921420000,0;56900000,0;654290000,0;723840000,0;514760000,0;1436760000,0;693510000,0;185460000,0;124100000,0;-54150000,0;-11560000,0;58390000,0;496350000,0;274050000,0;;;;;;;;PETZ3;Consumo Cíclico;Comércio;Produtos Diversos;0,17;121,97;;13,83;1,1191889849940164;7,877037078266826;;;22,87;1006610000,0;1378130000,0;52590000,0;0,6809209610512542;0,3582783485063615;0,4826902196609037;0,0406400512263704;0,0863748990784821;0,1290821013948049;0,11343150205921206;0,1113034190147461;0,0308470117122495;0,2835651892591394;1,4776771271433191;31,09353275099752;0,1021641153158753;3,4249307479224376;1,3545675465007871;0,6782313652967339;-0,0931506849315068;4,013618547286951
2019;1242650000,0;440920000,0;169280000,0;743400000,0;41100000,0;380950000,0;685420000,0;176280000,0;986080000,0;476330000,0;130530000,0;86110000,0;-49780000,0;-12760000,0;23580000,0;398490000,0;206960000,0;;;;;;;;PETZ3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;0,383267220208923;19,505521416454624;;;25,6;801730000,0;1066370000,0;229210000,0;0,795574395586565;0,178768456920331;0,4830541132565309;0,0239128671101736;0,0873255719617069;0,132372626967386;0,1337644656228727;0,1276162638968631;0,0189755763891683;1,7559947904696238;1,585535892132077;44,17840024515437;1,300260948491037;2,622137404580153;1,1574222338889617;0,4443627772673579;-0,1481825571942863;5,848010895667694
2018;597010000,0;351710000,0;160830000,0;215560000,0;15650000,0;212610000,0;202640000,0;181770000,0;767910000,0;351870000,0;82980000,0;53170000,0;-6340000,0;-15930000,0;30900000,0;257290000,00000003;92210000,0;;;;;;;;PETZ3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;0,3952035546708415;14,884795954692557;;;0,0;245300000,0;415240000,0;96460000,00000004;0,3010899714810329;0,2367074266515607;0,4582177598937375;0,0402390905184201;0,0692398848823429;0,1080595382271359;0,1699950486879023;0,0848175647975219;0,0517579270028977;1,1624487828392387;1,111231622077609;69,49393328512895;0,530670627716345;13,08832807570978;1,6542495649310944;0,7564554818682094;-0,2996050404363363;7,50948234037843
2017;402370000,0;224100000,0;61090000,0;146790000,0;8310000,000000001;150760000,0;93790000,0;157810000,0;597370000,0;264830000,0;;25070000,0;-6930000,0;-6700000,0;11430000,0;114360000,0;47120000,0;;;;;;;;PETZ3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;0,3431098253980607;40,23973709536308;;;0,0;178270000,0;244560000,0;53270000,0;0,2596380802517702;0,2641746321375362;0,4433265815156435;0,0191338701307397;0,0419672899542996;;0,07242887016031938;0,0674945805930117;0,0284066903596192;;;;0,3375578226981813;;1,486468559299549;0,4052135845051738;-0,2672516952532908;9,653324713326748
2022;;;;;;;;;;;;;;;;;;5766606584,0;100,0;ON;152530146,66;459940195,0;Novo Mercado;85988,0;PETZ3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
