Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;490970000,0;352700000,0;263770000,0;59120000,0;8860000,0;73160000,0;37490000,0;380320000,0;313940000,0;136830000,0;;-63920000,0;9370000,0;12390000,0;-42150000,0;35290000,0;-42430000,0;;;;;;;;WEST3;Consumo Cíclico;Comércio;Produtos Diversos;;-9,14;;1,01;3,451260599431841;-2,614410818505338;;;0,0;138270000,0;110650000,0;-228480000,0;0,2165381920112123;1,21144167675352;0,435847614193795;-0,1342613238198381;-0,2036057845448174;;-0,11082772402187631;-0,1239864295854286;-0,0858504592948652;;;;-0,6007572570466975;;4,820940404592673;3,6053854565336247;-0,1938360450563204;0,0746194527616742
2020;97880000,0;62820000,0;29930000,0;8250000,0;4570000,0;81860000,0;11670000,0;4350000,0;245250000,0;110650000,0;;62000,0;-6230000,0;17870000,0;11700000,0;13160000,0;6570000,0;;;;;;;;WEST3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;0,0394746098220669;9,418582564102564;;;0,0;35060000,0;93530000,0;-16770000,0;0,0522731906218144;0,0177370030581039;0,4511722731906218;0,0477064220183486;0,0002528032619775;;2,689655172413793;1,0241005139920043;0,1195341234164282;;;;-3,855172413793104;;0,7674077693623259;0,3656242365013437;288,2258064516129;0,0955189847094801
2019;30680000,0;21830000,0;4340000,0;5750000,0;1510000,0;34200000,0;5020000,0;-8550000,0;130910000,0;60220000,0;;1880000,0;-3100000,0;-260000,0;-1470000,0;8240000,0;3550000,0;;;;;;;;WEST3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;-0,0775880262019937;-74,96422857142858;;;0,0;8850000,0;39230000,0;3900000,0;0,0554579482086929;-0,0653120464441219;0,460010694370178;-0,0112290886868841;0,0143610113818654;;0,17192982456140352;-5,225806451612903;-0,0479139504563233;;;;-0,4561403508771929;;0,6383040935672515;0,1269005847953216;-0,1382978723404255;0,1789476052249637
2018;25120000,0;20530000,0;4310000,0;2290000,0;920000,0;28980000,0;3210000,0;-7070000,0;118880000,0;52580000,0;;7390000,0;-2860000,0;-1700000,0;2830000,0;;7250000,0;;;;;;;;WEST3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;-0,0641575842395433;38,93901625441696;;;0,0;4590000,0;32190000,0;;0,0270020188425302;-0,059471736204576;0,4422947510094213;0,0238055181695827;0,0621635262449528;;-0,4002828854314003;;0,1126592356687898;;;;;;0,7084195997239475;0,1487232574189096;-0,230040595399188;0,1970561154104979
2017;22950,0;19250,0;1230,0;2120,0;;31080,0;1770,0;-9900,0;110000,0;49770,0;;6790,0;-3610,0;;2380,0;;5220,0;;;;;;;;WEST3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;-8,983876718125586e-05;46301,43529411765;;;0,0;3700,0;32850,0;;;-0,09;0,4524545454545454;0,0216363636363636;0,0617272727272727;;-0,2404040404040404;;0,1037037037037037;;;;;;0,6193693693693694;0,0395752895752895;;212,96391818181817
2022;;;;;;;;;;;;;;;;;;23426031,0;100,0;ON;2195648,79;110197416,0;Novo Mercado;7647,0;WEST3;Consumo Cíclico;Comércio;Produtos Diversos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
