Ano;Ativo Total - (R$);Ativo Circulante - (R$);Aplicações Financeiras - (R$);Caixa e Equivalentes de Caixa - (R$);Contas a Receber - (R$);Estoque - (R$);Ativo Não Circulante - (R$);Ativo Realizável a Longo Prazo - (R$);Investimentos - (R$);Imobilizado - (R$);Intangível - (R$);Passivo Total - (R$);Passivo Circulante - (R$);Passivo Não Circulante - (R$);Patrimônio Líquido Consolidado - (R$);Capital Social Realizado - (R$);Reserva Capital - (R$);Reserva Lucros - (R$);Participação dos Não Controladores;Receita Líquida - (R$);Custos - (R$);Lucro Bruto - (R$);Despesas/Receitas Operacionais - (R$);EBITDA - (R$);Amortização/Depreciação;EBIT - (R$);Resultado não operacional - (R$);Resultado Financeiro - (R$);Impostos - (R$);Lucro Líquido - (R$);Lucro atribuído a Controladora;Lucro atribuído a Não Controladores;CAPEX - (R$);Dívida Bruta - (R$);Dívida Líquida - (R$);ROE - (%);ROIC - (%);Margem Bruta - (%);Margem Ebitda - (%);Margem Líquida - (%);Dívida Líquida/Ebitda;Caixa Líquido Atividades Operacionais - (R$);Caixa Gerado nas Operações - (R$);Lucro Líquido - (R$);Equivalência Patrimonial - (R$);Depreciação e Amortização - (R$);Variações nos Ativos e Passivos - (R$);Caixa Líquido Atividades de Investimento - (R$);Fluxo de Caixa Livre - (R$);Caixa Líquido Atividades de Financiamento - (R$);Variação Cambial de Caixa e Equivalentes - (R$);Aumento de Caixa e Equivalentes - (R$);Saldo Inicial de Caixa e Equivalentes - (R$);Saldo Final de Caixa e Equivalentes - (R$);EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout
2021;1.521,47 M;503,68 M;11,95 M;34,16 M;159,36 M;231,50 M;1.017,78 M;282,06 M;0,00;269,69 M;466,03 M;1.521,47 M;481,11 M;1.568,08 M;-527,72 M;624,76 M;25,00 K;0,00;0,00;875,92 M;-418,71 M;457,21 M;-1.134,73 M;-;-;-677,52 M;-;-159,83 M;33,03 M;-804,31 M;-804,31 M;0,00;-;1.730,78 M;-;-;-59,06%;52,20%;-;-91,83%;-;111,71 M;50,90 M;-837,34 M;-;-;60,81 M;-87,65 M;24,06 M;-46,12 M;0,00;-22,06 M;56,21 M;34,16 M;;;;;;;;LLIS3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2020;2.155,28 M;530,31 M;11,23 M;56,21 M;117,83 M;284,31 M;1.624,97 M;305,96 M;0,00;311,57 M;1.007,44 M;2.155,28 M;293,30 M;1.585,15 M;276,83 M;958,75 M;903,76 M;420,34 M;0,00;598,82 M;-303,70 M;295,11 M;-1.550,79 M;-;-;-1.255,67 M;-;-125,61 M;-623,80 M;-2.005,08 M;-2.005,08 M;0,00;-;1.636,94 M;-;-724,31%;-98,21%;49,28%;-;-334,84%;-;-324,85 M;-61,34 M;-1.381,28 M;-;-;-263,52 M;-80,61 M;-405,46 M;-5,54 M;0,00;-410,99 M;467,21 M;56,21 M;;;;;;;;LLIS3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2019;4.284,09 M;996,52 M;10,80 M;467,21 M;93,73 M;311,69 M;3.287,57 M;932,64 M;0,00;401,16 M;1.953,77 M;4.284,09 M;1.149,49 M;852,28 M;2.282,31 M;958,75 M;903,64 M;420,34 M;0,00;954,08 M;-500,68 M;453,41 M;-540,24 M;88,45 M;-175,28 M;-86,83 M;0,00;-176,49 M;70,32 M;-193,00 M;-193,00 M;0,00;-;1.481,82 M;-;-8,46%;-4,17%;47,52%;9,27%;-20,23%;-;70,47 M;233,20 M;-263,32 M;-;175,28 M;-162,73 M;-112,71 M;-42,25 M;261,72 M;0,00;219,47 M;247,74 M;467,21 M;;;;;;;;LLIS3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2018;3.708,43 M;801,66 M;0,00;247,74 M;77,37 M;356,39 M;2.906,77 M;747,36 M;0,00;232,78 M;1.926,63 M;3.708,43 M;960,38 M;522,18 M;2.225,87 M;700,00 M;912,51 M;613,34 M;0,00;1.244,15 M;-451,78 M;792,36 M;-518,37 M;-;-;274,00 M;0,00;-144,57 M;-25,96 M;103,46 M;103,46 M;0,00;-;1.111,71 M;-;4,65%;7,43%;63,69%;-;8,32%;-;91,98 M;309,92 M;129,43 M;-;76,61 M;-217,94 M;-149,10 M;-57,12 M;-104,89 M;0,00;-162,01 M;409,74 M;247,74 M;;;;;;;;LLIS3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2017;3.690,95 M;895,91 M;0,00;409,74 M;57,66 M;291,96 M;2.795,04 M;706,53 M;0,00;198,81 M;1.889,70 M;3.690,95 M;976,03 M;568,42 M;2.146,50 M;417,04 M;1.195,01 M;534,45 M;0,00;1.249,82 M;-531,87 M;717,95 M;-762,01 M;-;-;-44,06 M;0,00;-169,78 M;634,41 M;420,57 M;420,57 M;0,00;-;1.026,61 M;-;19,59%;-21,38%;57,44%;-;33,65%;-;147,97 M;201,26 M;-213,84 M;-;285,04 M;-53,30 M;-114,21 M;33,76 M;-0,43 M;0,00;33,33 M;376,41 M;409,74 M;;;;;;;;LLIS3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R$ 1.797.590.360;100 %;ON;R$ 639.659,66;68.850.829;Novo Mercado;5.143;LLIS3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
