Ano;Ativo Total - (R$);Ativo Circulante - (R$);Aplicações Financeiras - (R$);Caixa e Equivalentes de Caixa - (R$);Contas a Receber - (R$);Estoque - (R$);Ativo Não Circulante - (R$);Ativo Realizável a Longo Prazo - (R$);Investimentos - (R$);Imobilizado - (R$);Intangível - (R$);Passivo Total - (R$);Passivo Circulante - (R$);Passivo Não Circulante - (R$);Patrimônio Líquido Consolidado - (R$);Capital Social Realizado - (R$);Reserva Capital - (R$);Reserva Lucros - (R$);Participação dos Não Controladores;Receita Líquida - (R$);Custos - (R$);Lucro Bruto - (R$);Despesas/Receitas Operacionais - (R$);EBITDA - (R$);Amortização/Depreciação;EBIT - (R$);Resultado não operacional - (R$);Resultado Financeiro - (R$);Impostos - (R$);Lucro Líquido - (R$);Lucro atribuído a Controladora;Lucro atribuído a Não Controladores;CAPEX - (R$);Dívida Bruta - (R$);Dívida Líquida - (R$);ROE - (%);ROIC - (%);Margem Bruta - (%);Margem Ebitda - (%);Margem Líquida - (%);Dívida Líquida/Ebitda;Caixa Líquido Atividades Operacionais - (R$);Caixa Gerado nas Operações - (R$);Lucro Líquido - (R$);Equivalência Patrimonial - (R$);Depreciação e Amortização - (R$);Variações nos Ativos e Passivos - (R$);Caixa Líquido Atividades de Investimento - (R$);Fluxo de Caixa Livre - (R$);Caixa Líquido Atividades de Financiamento - (R$);Variação Cambial de Caixa e Equivalentes - (R$);Aumento de Caixa e Equivalentes - (R$);Saldo Inicial de Caixa e Equivalentes - (R$);Saldo Final de Caixa e Equivalentes - (R$);EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout
2021;3.423,19 M;1.777,31 M;0,00;261,97 M;860,76 M;369,33 M;1.645,88 M;890,99 M;0,00;113,19 M;641,70 M;3.423,19 M;1.430,19 M;993,47 M;999,52 M;1.447,35 M;69,12 M;17,22 M;0,00;2.525,45 M;-1.344,36 M;1.181,09 M;-1.176,28 M;87,58 M;-82,78 M;4,80 M;-;-157,70 M;81,14 M;-71,75 M;-71,75 M;0,00;-;1.462,99 M;-;-7,18%;-3,10%;46,77%;3,47%;-2,84%;-;4,46 M;201,22 M;-71,75 M;-;82,78 M;-97,77 M;-123,89 M;-119,43 M;-145,52 M;0,00;-264,96 M;526,93 M;261,97 M;;;;;;;;AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2020;3.367,65 M;1.787,28 M;0,00;526,93 M;705,18 M;274,88 M;1.580,38 M;811,68 M;0,00;133,33 M;635,38 M;3.367,65 M;1.463,23 M;912,50 M;991,92 M;1.447,35 M;-1,11 M;94,72 M;0,00;2.139,42 M;-1.341,20 M;798,21 M;-1.091,03 M;-185,33 M;-107,49 M;-292,82 M;-;-142,27 M;2,90 M;-432,20 M;0,00;-432,20 M;-;1.447,23 M;-;-43,57%;-12,12%;37,31%;-;-20,20%;-;129,88 M;-61,71 M;-432,20 M;0,00;107,49 M;233,14 M;-47,15 M;82,73 M;-281,29 M;0,00;-198,57 M;725,50 M;526,93 M;;;;;;;;AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2019;4.020,07 M;2.375,55 M;688,42 M;37,08 M;872,49 M;441,67 M;1.644,52 M;809,99 M;0,00;176,49 M;658,04 M;4.020,07 M;1.546,89 M;1.053,17 M;1.420,01 M;1.442,70 M;-1,10 M;91,89 M;0,00;2.882,42 M;-1.550,94 M;1.331,48 M;-1.264,55 M;185,43 M;-118,50 M;66,93 M;0,00;-146,88 M;-32,42 M;-112,36 M;-112,36 M;0,00;-;1.519,50 M;-;-7,91%;1,17%;46,19%;6,43%;-3,90%;-;215,29 M;414,29 M;-112,36 M;-;118,50 M;-130,54 M;-59,96 M;155,33 M;173,43 M;0,00;328,76 M;396,74 M;725,50 M;;;;;;;;AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2018;3.162,10 M;1.982,03 M;356,92 M;39,82 M;750,90 M;361,30 M;1.180,07 M;838,97 M;0,00;223,64 M;117,47 M;3.162,10 M;1.375,01 M;813,44 M;973,65 M;899,60 M;0,00;74,65 M;0,00;2.764,13 M;-1.529,87 M;1.234,26 M;-954,26 M;417,90 M;-137,91 M;280,00 M;0,00;273,25 M;-524,89 M;28,36 M;28,36 M;0,00;-;1.016,33 M;-;2,91%;-12,31%;44,65%;15,12%;1,03%;-;83,20 M;543,35 M;28,36 M;-;137,91 M;-420,45 M;-47,45 M;35,75 M;-96,55 M;0,00;-60,80 M;457,53 M;396,74 M;;;;;;;;AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2017;2.832,73 M;1.847,31 M;416,15 M;41,39 M;800,80 M;418,38 M;985,42 M;538,40 M;12,17 M;311,70 M;123,15 M;2.832,73 M;1.274,26 M;598,84 M;959,64 M;899,60 M;2,94 M;117,01 M;0,00;2.875,58 M;-1.500,72 M;1.374,86 M;-1.262,95 M;265,59 M;-153,68 M;111,91 M;0,00;-120,47 M;-51,88 M;-60,44 M;-60,44 M;0,00;-;1.004,23 M;-;-6,30%;3,06%;47,81%;9,24%;-2,10%;-;-10,35 M;77,77 M;-60,44 M;-;153,68 M;-20,82 M;-55,66 M;-66,01 M;104,48 M;0,00;38,48 M;419,06 M;457,53 M;;;;;;;;AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R$ 1.965.536.321;100 %;ON;R$ 15.422.167,66;342.835.570;Novo Mercado;65.058;AMAR3;Consumo Cíclico;Comércio;Tecidos. Vestuário e Calçados;;;;;;;;;
