Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;2941040000,0;1600990000,0;361090000,0;625830000,0;391300000,0;844000000,0;386240000,0;1710800000,0;3615100000,0;994310000,0;823030000,0;722620000,0;-8930000,0;-147080000,0;566620000,0;272200000,0;712310000,0;;;;;;;;LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;17,38;6,97;0,02;2,31;13,333489207651871;0,22644541315167133;11,02;87,2;95,13;1340050000,0;1230240000,0;-88890000,0;0,2813559790877154;0,47323725484772206;0,2750435672595502;0,15673701972282925;0,1998893529916185;0,22766451827058726;3,0193074723800786;0,2902370146243066;0,19265973941190873;-0,10800335346220673;0,8654727045186689;3,684986944582822;-0,05195814823474398;92,16461366181412;1,8969075829383886;0,42783175355450237;-0,20353712878137886;0,8389407775718514
2020;2796580000,0;1579000000,0;607840000,0;635610000,0;391990000,0;1016840000,0;437760000,0;1341990000,0;2402580000,0;626930000,0;296560000,0;193600000,0;-85980000,0;14600000,0;122220000,0;567970000,0;484390000,0;;;;;;;;LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;4,79;21,61;0,0;2,0;10,459088836670992;1,0498159057437408;-0,25;-9,13;95,72;1217580000,0;1454590000,0;-39870000,0;0,42770688176876526;0,5585620458007642;0,26094032248666016;0,050870314412007095;0,08058004312031233;0,12343397514338753;10,980117820324006;0,10900751848206246;0,043703380557681165;-0,13444159697868896;1,6333625573239816;10,226783129889398;-0,029709610354771643;3,4491742265643173;1,5528500059006334;0,5977734943550608;0,07541322314049587;1,2623324946515828
2019;2327650000,0;1096790000,0;168780000,0;664070000,0;469600000,0;587100000,0;443600000,0;1296950000,0;2526240000,0;640360000,0;440840000,0;345440000,0;-41370000,0;-48220000,0;255850000,0;419080000,0;369220000,0;;;;;;;;LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;0,44;14,27;0,0;2,83;10,10805987132575;0,5014989251514559;1,6;4,48;31,63;1230860000,0;1030700000,0;250300000,0;0,44875783773513206;0,513391443409969;0,25348343783646843;0,10127699664323263;0,13674076888973336;0,17450440179872062;5,069181160836427;0,17320210019638352;0,1099177281807832;0,5677796933127666;0,8375374285455041;6,87971782279285;0,19299124869887044;10,6560309402949;1,868148526656447;0,2874808380173735;-0,13959008800370543;1,200541043210463
2018;2316130000,0;1106330000,0;97590000,0;645520000,0;466880000,0;561470000,0;401720000,0;1352940000,0;2591650000,0;690010000,0;;376900000,0;-21550000,0;-62290000,0;293050000,0;291620000,0;445390000,0;;;;;;;;LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;7,88;11,05;0,48;2,38;10,54443002606998;0,4378382528578741;1,6;7,68;95,46;1209800000,0;963190000,0;194030000,0;0,4292246252387475;0,5220380838461983;0,2662435128200181;0,1130746821522968;0,14542858796519592;;4,616754819996587;0,19130344894683077;0,12652571315081623;;;;0,1434136029683504;;1,9704169412435215;0,17381160168842502;-0,16526930220217564;1,1702408909382054
2017;2226140000,0;1061250000,0;169070000,0;640250000,0;459010000,0;425760000,0;450160000,0;1350220000,0;2264440000,0;628670000,0;;307480000,0;-28370000,0;-47150000,0;224690000,0;175980000,0;;;;;;;;;LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;7,14;12,91;0,01;2,26;10,523231118748953;0,5710467755574347;-0,24;5,78;97,59;1164890000,0;875920000,0;6910000,0;0,48544452491565243;0,5962710427302115;0,27762713960184415;0,09922541555528078;0,13578633127837347;;6,009257198807245;0,17057397457738174;0,10093255590394135;;;;0,0051176845254847355;;2,4926014656144306;0,3971016535137166;-0,1533433068817484;1,339339883149918
2022;;;;;;;;;;;;;;;;;;3032854805;100;ON;9977936,21;128308500;Novo Mercado;66497;LEVE3;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
