Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;830420000,0;422290000,0;14330000,0;324520000,0;1570000,0;485180000,0;198400000,0;146840000,0;954280000,0;149520000,0;63290000,0;44580000,0;-46430000,0;-170000,0;-2020000,0;228710000,0;64440000,0;;;;;;Nível 1;;CEDO4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;32,64;-0,31;0,34;14,684;-4,9504950495049505;13,54;;0,0;408130000,0;683580000,0;214380000,0;0,3417131240306828;0,15387517290522698;0,15668357295552668;-0,002116779142390074;0,04671584859789579;0,06632225342666723;-72,6930693069307;0,11825322859805619;-0,002432504034103225;3,3872649707694737;1,0181703270658873;4,155942076157371;1,459956415145737;1,3631272883911265;0,8703780040397379;0,029535430149635188;-0,003813369223867205;0,2756314436014587
2020;689030000,0;295750000,0;13310000,0;313330000,0;1890000,0;308050000,0;232120000,0;148860000,0;618630000,0;103690000,0;18980000,0;1140000,0;-46500000,0;-560000,0;-45920000,0;226800000,0;11870000,0;;;;;;Nível 1;;CEDO4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;-1,36;0,0;0,43;14,886;-0,21777003484320556;9,31;;0,0;393280000,0;540170000,0;213490000,0;0,509545285550329;0,24062848552446536;0,16761230460857054;-0,07422853725166902;0,0018427816303768004;0,03068069767065936;-3,2417247386759582;0,0015439493158707343;-0,06664441316053002;11,248155953635406;0,6253951527924131;13,85824942044257;1,4341663307805992;0,40817204301075266;0,9600714169777633;0,04320727154682681;-0,49122807017543857;0,42518076071318883
2019;732470000,0;315250000,0;17290000,0;317630000,0;2410000,0;325670000,0;212030000,0;194780000,0;677330000,0;76130000,0;36050000,0;15710000,0;-20220000,0;-9380000,0;-13890000,0;237800000,0;38280000,0;;;;;;Nível 1;;CEDO4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;-4,95;0,0;0,5;19,478;-0,7199424046076314;3,73;;0,0;417220000,0;537690000,0;220510000,0;0,47250232530671904;0,2875703128460278;0,11239720667916672;-0,020506990684009272;0,023194011781554044;0,05322368712444451;-14,023038156947445;0,01463313144389477;-0,018963233989105356;6,1167822468793345;1,061858529819695;7,296243384188627;1,1320977513091692;1,7828882294757666;0,9680044216538214;0,05309055178554979;-0,5970719287078294;0,38833297506385367
2018;700210000,0;308800000,0;4450000,0;310660000,0;2590000,0;296980000,0;194530000,0;208700000,0;649690000,0;74590000,0;;63110000,0;-11460000,0;-5910000,0;45740000,0;256440000,0;57210000,0;;;;;;Nível 1;;CEDO4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;1,23;-0,03;0,32;20,87;0,2186270222999563;2,14;30,18;0,0;391410000,0;491510000,0;251990000,0;0,4821530268281796;0,3212301251366036;0,11480860102510428;0,07040280749280427;0,09713863534916653;;4,5627459554000875;0,12297372833985466;0,0653232601648077;;;;1,207426928605654;;1,0398006599771028;0,014984174018452421;-0,09364601489462843;0,4048539672767012
2017;575440000,0;225650000,0;8940000,0;323960000,0;1480000,0;226950000,0;185530000,0;162960000,0;635040000,0;116580000,0;;83710000,0;-43800000,0;46310000,0;86220000,0;232460000,0;64160000,0;;;;;;Nível 1;;CEDO4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;0,82;-0,01;0,48;16,296;0,1159823706796567;4,69;44,69;0,0;349790000,0;412480000,0;223520000,0;0,5124716553287982;0,2566137566137566;0,18357898715041573;0,13577097505668934;0,13181846812799194;;1,8900487125956855;0,3288149309594861;0,14983317113860697;;;;1,371624938635248;;0,9942718660497907;0,039391936549900856;0,5532194480946123;0,4141937106324011
2022;;;;;;;;;;;;;;;;;;263029574;80;PN; 7599,30;10000000;Nível 1;2243;CEDO4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
