Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;280730000;142440000;22680000;83520000;880000;61930000;70480000;148320000;212600000;52940000;22070000;16180000;310000;-490000;16000000;70600000;34550000;;;;;;;;CATA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;1020,735408;0,009081688;1,83;54,22;15,29;138290000;132410000;47920000;0,396989652;0,697648166;0,24901223;0,075258702;0,076105362;0,103809972;9,27;0,071670016;0,056994265;2,171273222;1,565473493;2,846776393;0,323085221;71,19354839;2,300016147;0,366219926;-0,030284302;0,295523777
2020;235780000;110770000;31370000;85780000;1140000;49810000;55610000;130360000;139030000;24950000;-2650000;-8560000;480000;1010000;-7080000;58390000;5490000;;;;;;;;CATA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;897,1350313;-0,020523588;-4,76;0;0;125010000;105420000;27020000;0,625188808;0,937639358;0,179457671;-0,050924261;-0,061569445;-0,019060634;-18,41242938;-0,04;-0,030027992;-10,19622642;-2,071698113;-23,70881321;0,207272169;-5,520833333;2,223850632;0,629793214;-0,117990654;0,45190502
2019;230650000;94280000;13880000;89160000;1450000;43510000;50030000;137110000;177120000;22900000;-5590000;-11850000;19210000;-67000;7290000;48300000;22180000;;;;;;;;CATA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;943,5884025;0,019932373;-1,79;-8,75;0;136370000;93540000;34420000;0,511574074;0,774107949;0,129290876;0,041158537;-0,066903794;-0,031560524;18,8079561;-0,064273772;0,03160633;-6,157423971;-3,967799642;-11,2394195;0,251039312;-0,290994274;2,166858194;0,319007125;0,005654008;0,354721968
2018;224700000;115480000;10890000;93870000;1200000;50230000;44360000;130110000;176750000;26850000;;-15410000;2750000;8620000;-4090000;53900000;250000;;;;;;;;CATA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;895,4145361;-0,035527384;-1,38;0;0;109220000;94590000;43010000;0,537878359;0,73612447;0,151909477;-0,023140028;-0,08718529;;-31,81173594;-0,036900168;-0,018202047;;;;0,330566444;;2,299024487;0,216802708;-0,559377028;0,355464526
2017;243420000;128370000;25000000;97930000;1160000;63500000;45770000;134150000;176460000;20460000;;-21160000;4680000;5680000;-11060000;60330000;-1130000;;;;;;;;CATA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;923,217739;-0,013138065;-1,78;0;0;115050000;109270000;35330000;0,561543693;0,760228947;0,115946957;-0,062677094;-0,119913861;;-12,12929476;-0,079596874;-0,045435872;;;;0,263361908;;2,021574803;0,393700787;-0,268431002;0,356048708
2022;;;;;;;;;;;;;;;;;;62828355;0;PN;0;145307;;1580;CATA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
