Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;276340000,0;1480000,0;770000,0;440000,0;160000,0;500000,0;134360000,0;141480000,0;;;820000,0;-10020000,0;-6970000,0;-390000,0;-17380000,0;;-390000,0;;;;;;;;ECPR3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;74,46064974653486;-0,1093247410817031;;;0,0;274860000,0;134860000,0;;;;;;;;-0,1228442182640656;;-0,0628935369472389;;-0,4756097560975609;208,71213048780487;;0,1176470588235294;2,96;1,54;0,0389221556886227;
2020;282910000,0;1420000,0;510000,0;440000,0;160000,0;1000000,0;123950000,0;157970000,0;;;430000,0;-46360000,0;-8680000,0;-320000,0;-55360000,0;;-550000,0;;;;;;;;ECPR3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;83,13930478131263;-0,034321965317919;;;0,0;281490000,0;124940000,0;;;;;;;;-0,35044628726973476;;-0,1956806051394436;;-1,2790697674418603;398,0091790697674;;0,0495391705069124;1,42;0,51;0,0069025021570319;
2019;302660000,0;2740000,0;1240000,0;450000,0;160000,0;700000,0;114320000,0;187640000,0;;;550000,0;-12930000,0;-4500000,0;-260000,0;-17690000,0;;-500000,0;;;;;;;;ECPR3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;2,8;-7,73;;0,73;98,75456826717416;-0,1074089315997738;;;0,0;299920000,0;115020000,0;;;;;;;;-0,09427627371562566;;-0,0584484239740963;;-0,9090909090909092;311,17081272727273;;0,1222222222222222;3,914285714285714;1,7714285714285714;0,0201082753286929;
2018;304080000,0;3330000,0;1490000,0;450000,0;160000,0;17990000,0;87770000,0;198320000,0;;;-980000,0;33890000,0;-3920000,0;-600000,0;29370000,0;6410000,0;-1430000,0;;;;;;;;ECPR3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;104,37543156441046;0,0646940415389853;;15,26;0,0;300750000,0;105760000,0;4920000,0;;;;;;;0,14809398951189995;0,1626044058027646;0,0965864246250986;-5,020408163265306;1,4591836734693877;-174,6366806122449;0,0248083904800322;-0,25;0,1851028349082824;0,0828237909949972;-0,0177043375627028;
2017;292260000,0;2910000,0;1490000,0;450000,0;160000,0;38770000,0;123770000,0;129720000,0;;;34280000,0;45940000,0;-1010000,0;1230000,0;46160000,0;19230000,0;-740000,0;;;;;;;;ECPR3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;68,27138454283646;0,0411625649913344;;;0,0;289350000,0;162540000,0;17740000,0;;;;;;;0,35584335491828556;0,3166834508224236;0,1579415588859234;0,5175029171528588;-0,0215869311551925;4,992530542590432;0,1367560900400863;33,94059405940594;0,0750580345628063;0,0384317771472788;0,0267740531127557;
2022;;;;;;;;;;;;;;;;;;171143947,0;0,0;ON;27075,0;1900064,0;;3956,0;ECPR3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
