Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;630580000,0;446840000,0;6290000,0;167840000,0;11350000,0;259519999,99999997;505010000,0;-133949999,99999999;549680000,0;222880000,0;80520000,0;67130000,0;-12210000,0;2560000,0;57490000,0;557920000,0;86380000,0;;;;;;;;CTKA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;1,92;-0,07;-0,82;-21,58612493201458;0,10793833710210471;12,05;;0,0;183740000,0;764530000,0;551630000,0;0,32598966671517976;-0,24368723621015864;0,4054722747780527;0,10458812399941785;0,12212560034929414;0,1464852277688837;-2,3299704296399373;0,16437483784230017;0,09117003393701037;6,850844510680576;1,0727769498261301;8,236021696472926;-4,118178424785368;6,594594594594595;1,7217940813810113;0,02423705302096178;0,03813496201400268;1,2064555141173046
2020;508570000,0;303310000,0;8650000,0;143910000,0;12100000,0;173060000,0;526950000,00000006;-191440000,0;380170000,0;153190000,0;95370000,0;83910000,0;20030000,0;-23430000,0;80510000,0;533260000,0;118860000,0;;;;;;;;CTKA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;1,62;0,0;-0,68;-30,850673811010616;0,0770758290895541;7,67;;0,0;205260000,0;700010000,0;524610000,0;0,4103690454270458;-0,5035641949654102;0,40295131125549094;0,21177368019570192;0,22071704763658365;0,250861456716732;-2,3778412619550364;0,1769352290679305;0,15830662445681026;5,5007864108210125;1,2463038691412394;6,953596172800671;-2,7403363978269955;4,761357963055417;1,7526291459609384;0,049982664971686123;-0,27922774401144085;1,7443892653286688
2019;380810000,0;228780000,0;7930000,0;135140000,0;12680000,0;117610000,0;535799999,99999994;-272600000,0;337310000,0;136420000,0;45890000,0;34710000,0;-46850000,0;-290000,0;-12430000,0;526200000,00000006;36900000,0;;;;;;;;CTKA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;6,44;0,0;-0,29;-43,92965775638056;-0,49922566371681415;0,27;;0,0;152030000,0;653410000,0;518270000,00000006;0,4382318935104207;-0,8081586671014793;0,404435089383653;-0,03685037502594053;0,10290237467018469;0,13604695976994455;21,930812550281576;0,13572555205047315;-0,032640949554896145;11,293745914142516;0,8040967531052516;14,451176007844847;-1,901210564930301;0,9795090715048026;1,945242751466712;0,06742623926536859;-0,008354940939210602;1,9660385609676558
2018;341880000,0;198810000,0;2020000,0;125750000,0;12620000,0;567530000,0;34530000,0;-260170000,00000003;316640000,0;136110000,0;;46150000,0;-99140000,0;310000,0;-52680000,0;488880000,0;43420000,0;;;;;;;;CTKA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;-0,4;0,0;-0,08;-41,92655560703423;-0,11779375474563401;1,19;;0,0;143070000,0;602050000,0;486860000,0;0,4369946942900455;-0,8216586659929257;0,42985725113693785;-0,16637190500252652;0,1457491157150076;;4,938686408504177;0,2031393467710201;-0,15408915408915408;;;;-1,8713149094822614;;0,35030747273271895;0,003559283209698166;0,006717226435536294;2,0943799488377968
2017;322720000,0;183630000,0;1670000,0;119750000,0;13070000,0;484540000,0;46370000,0;-208190000,0;309780000,0;123190000,0;;44580000,0;-97550000,0;52440000,0;-530000,0;400330000,0;44570000,0;;;;;;;;CTKA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;-32,98;0,33;-0,08;-33,54994661885865;-11,708254716981132;-2,22;;0,0;139090000,0;530910000,0;398660000,0;0,42875589127768093;-0,672057589256892;0,3976693137065014;-0,0017108916004906708;0,14390858028278133;;392,811320754717;0,5049443114395753;-0,001642290530490828;;;;-1,9148854411835343;;0,3789779997523424;0,0034465678788128946;1,1763122476446837;2,140759464781458
2022;;;;;;;;;;;;;;;;;;663164467;0;PN; 16491,61;6205375;;1341;CTKA4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Fios e Tecidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
