Ano;Ativo Total - (R$);Ativo Circulante - (R$);Aplicações Financeiras - (R$);Caixa e Equivalentes de Caixa - (R$);Contas a Receber - (R$);Estoque - (R$);Ativo Não Circulante - (R$);Ativo Realizável a Longo Prazo - (R$);Investimentos - (R$);Imobilizado - (R$);Intangível - (R$);Passivo Total - (R$);Passivo Circulante - (R$);Passivo Não Circulante - (R$);Patrimônio Líquido Consolidado - (R$);Capital Social Realizado - (R$);Reserva Capital - (R$);Reserva Lucros - (R$);Participação dos Não Controladores;Receita Líquida - (R$);Custos - (R$);Lucro Bruto - (R$);Despesas/Receitas Operacionais - (R$);EBITDA - (R$);Amortização/Depreciação;EBIT - (R$);Resultado não operacional - (R$);Resultado Financeiro - (R$);Impostos - (R$);Lucro Líquido - (R$);Lucro atribuído a Controladora;Lucro atribuído a Não Controladores;CAPEX - (R$);Dívida Bruta - (R$);Dívida Líquida - (R$);ROE - (%);ROIC - (%);Margem Bruta - (%);Margem Ebitda - (%);Margem Líquida - (%);Dívida Líquida/Ebitda;Caixa Líquido Atividades Operacionais - (R$);Caixa Gerado nas Operações - (R$);Lucro Líquido - (R$);Equivalência Patrimonial - (R$);Depreciação e Amortização - (R$);Variações nos Ativos e Passivos - (R$);Caixa Líquido Atividades de Investimento - (R$);Fluxo de Caixa Livre - (R$);Caixa Líquido Atividades de Financiamento - (R$);Variação Cambial de Caixa e Equivalentes - (R$);Aumento de Caixa e Equivalentes - (R$);Saldo Inicial de Caixa e Equivalentes - (R$);Saldo Final de Caixa e Equivalentes - (R$);EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout
2021;161,75 M;47,27 M;0,00;10,91 M;20,16 M;15,44 M;114,49 M;27,10 M;0,00;87,34 M;46,00 K;161,75 M;59,95 M;2,97 M;98,83 M;44,47 M;0,00;54,36 M;-;175,28 M;-142,05 M;33,23 M;-30,94 M;7,10 M;-4,82 M;2,28 M;-;1,66 M;3,05 M;6,99 M;6,99 M;-;-;0,00;-;7,07%;-0,77%;18,96%;4,05%;3,99%;-;22,76 M;6,38 M;6,99 M;-;4,82 M;16,38 M;-29,46 M;-6,71 M;-7,59 M;0,00;-14,30 M;25,21 M;10,91 M;;;;;;;;BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;;;;;;;;
2020;148,89 M;64,16 M;18,11 M;7,09 M;22,30 M;15,44 M;84,73 M;23,86 M;0,00;60,84 M;30,00 K;148,89 M;53,36 M;3,69 M;91,84 M;30,00 M;14,47 M;47,37 M;-;190,86 M;-146,46 M;44,40 M;-19,66 M;28,81 M;-4,07 M;24,75 M;-;5,84 M;-7,15 M;23,44 M;-;-;-;0,00;-;25,52%;19,16%;23,26%;15,10%;12,28%;-;15,95 M;18,34 M;23,44 M;-;4,07 M;-2,39 M;-20,70 M;-4,74 M;-5,43 M;0,00;-10,17 M;35,38 M;25,21 M;;;;;;;;BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;;;;;;;;
2019;121,10 M;66,84 M;28,84 M;6,54 M;20,78 M;9,83 M;54,26 M;13,34 M;0,00;40,88 M;38,00 K;121,10 M;45,80 M;3,56 M;71,75 M;30,00 M;0,00;41,75 M;0,00;180,15 M;-134,63 M;45,53 M;-29,54 M;20,48 M;-4,50 M;15,99 M;-;1,35 M;9,52 M;26,86 M;-;-;-;16,00 K;-;37,43%;9,01%;25,27%;11,37%;14,91%;-;28,06 M;20,37 M;26,86 M;-;4,50 M;7,69 M;-13,85 M;14,21 M;-3,13 M;0,00;11,08 M;24,30 M;35,38 M;;;;;;;;BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;;;;;;;;
2018;89,61 M;55,14 M;19,26 M;5,04 M;20,48 M;9,62 M;34,47 M;4,09 M;0,00;30,32 M;54,00 K;89,61 M;35,85 M;4,62 M;49,15 M;30,00 M;0,00;19,15 M;0,00;173,87 M;-128,36 M;45,51 M;-30,88 M;17,94 M;-3,32 M;14,62 M;-;0,22 M;-4,79 M;10,05 M;-;-;-;0,21 M;-;20,45%;19,92%;26,17%;10,32%;5,78%;-;18,92 M;18,69 M;10,05 M;-;3,32 M;0,22 M;-5,55 M;13,36 M;-3,32 M;0,00;10,05 M;14,25 M;24,30 M;;;;;;;;BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;;;;;;;;
2017;81,10 M;49,36 M;5,23 M;14,25 M;21,36 M;7,29 M;31,74 M;3,66 M;0,00;28,00 M;77,00 K;81,10 M;35,41 M;4,21 M;41,48 M;30,00 M;0,00;11,48 M;0,00;163,05 M;-120,35 M;42,70 M;-28,68 M;17,07 M;-3,05 M;14,03 M;-;-7,00 K;-4,60 M;9,42 M;-;-;-;0,40 M;-;22,71%;22,51%;26,19%;10,47%;5,78%;-;8,43 M;17,85 M;9,42 M;-;3,05 M;-9,42 M;-5,63 M;2,80 M;-0,74 M;0,00;2,06 M;12,19 M;14,25 M;;;;;;;;BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R$ 400.810.982;--;PN;R$ 22.580,73;5.222.222;SEGMENTO DE LISTAGEM;305;BAUH4;Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;;;;;;;;
