Ano;Ativo Total - (R$);Ativo Circulante - (R$);Aplicações Financeiras - (R$);Caixa e Equivalentes de Caixa - (R$);Contas a Receber - (R$);Estoque - (R$);Ativo Não Circulante - (R$);Ativo Realizável a Longo Prazo - (R$);Investimentos - (R$);Imobilizado - (R$);Intangível - (R$);Passivo Total - (R$);Passivo Circulante - (R$);Passivo Não Circulante - (R$);Patrimônio Líquido Consolidado - (R$);Capital Social Realizado - (R$);Reserva Capital - (R$);Reserva Lucros - (R$);Participação dos Não Controladores;Receita Líquida - (R$);Custos - (R$);Lucro Bruto - (R$);Despesas/Receitas Operacionais - (R$);EBITDA - (R$);Amortização/Depreciação;EBIT - (R$);Resultado não operacional - (R$);Resultado Financeiro - (R$);Impostos - (R$);Lucro Líquido - (R$);Lucro atribuído a Controladora;Lucro atribuído a Não Controladores;CAPEX - (R$);Dívida Bruta - (R$);Dívida Líquida - (R$);ROE - (%);ROIC - (%);Margem Bruta - (%);Margem Ebitda - (%);Margem Líquida - (%);Dívida Líquida/Ebitda;Caixa Líquido Atividades Operacionais - (R$);Caixa Gerado nas Operações - (R$);Lucro Líquido - (R$);Equivalência Patrimonial - (R$);Depreciação e Amortização - (R$);Variações nos Ativos e Passivos - (R$);Caixa Líquido Atividades de Investimento - (R$);Fluxo de Caixa Livre - (R$);Caixa Líquido Atividades de Financiamento - (R$);Variação Cambial de Caixa e Equivalentes - (R$);Aumento de Caixa e Equivalentes - (R$);Saldo Inicial de Caixa e Equivalentes - (R$);Saldo Final de Caixa e Equivalentes - (R$);EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout
2021;849,69 M;367,57 M;120,74 M;213,28 M;17,81 M;3,94 M;482,12 M;73,98 M;0,00;102,69 M;305,46 M;849,69 M;112,22 M;48,47 M;689,00 M;562,20 M;9,84 M;114,87 M;0,00;421,46 M;-137,37 M;284,09 M;-98,83 M;-;-;185,26 M;-;15,59 M;-66,85 M;134,00 M;134,00 M;0,00;-;83,77 M;-;19,45%;15,32%;67,41%;-;31,80%;-;130,63 M;204,26 M;-;-;-;-73,64 M;-71,08 M;59,55 M;-66,39 M;-1,08 M;-7,92 M;213,28 M;205,37 M;;;;;;;;CTCA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2020;791,67 M;295,50 M;0,00;265,97 M;22,19 M;2,38 M;496,17 M;114,98 M;0,00;102,87 M;278,33 M;791,67 M;103,50 M;92,23 M;595,94 M;562,20 M;0,00;32,22 M;0,00;337,95 M;-114,39 M;223,56 M;-73,37 M;-;-;150,19 M;-;4,51 M;-46,31 M;108,40 M;108,40 M;0,00;-;144,81 M;-;18,19%;14,02%;66,15%;-;32,07%;-;153,41 M;170,46 M;-;-;-;-17,05 M;-141,23 M;12,18 M;-65,43 M;0,57 M;-52,69 M;265,97 M;213,28 M;;;;;;;;CTCA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2019;778,58 M;284,28 M;99,40 M;151,63 M;27,86 M;0,35 M;494,30 M;121,75 M;0,00;123,32 M;249,23 M;778,58 M;89,24 M;109,72 M;579,62 M;562,20 M;0,00;17,44 M;0,00;244,80 M;-104,24 M;140,56 M;-121,17 M;-;-;19,39 M;0,00;8,33 M;-8,33 M;19,39 M;19,39 M;0,00;-;153,78 M;-;3,35%;1,51%;57,42%;-;7,92%;-;92,51 M;113,40 M;-;-;-;-20,89 M;57,64 M;150,15 M;-37,34 M;1,54 M;114,34 M;151,63 M;265,97 M;;;;;;;;CTCA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2018;788,12 M;196,92 M;0,00;157,30 M;31,24 M;-;591,20 M;235,85 M;0,00;132,38 M;222,97 M;788,12 M;0,00;146,82 M;555,82 M;556,55 M;0,00;0,00;-;186,73 M;-106,08 M;80,65 M;-57,67 M;-;-;22,98 M;0,00;8,45 M;-7,83 M;23,60 M;23,60 M;0,00;-;191,02 M;-;4,25%;2,03%;43,19%;-;12,64%;-;74,93 M;80,99 M;-;-;-;-6,06 M;-139,37 M;-64,44 M;58,79 M;-16,00 K;-5,66 M;157,30 M;151,63 M;;;;;;;;CTCA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2017;812,96 M;326,97 M;0,00;193,98 M;127,92 M;0,22 M;485,99 M;150,88 M;0,00;137,23 M;197,89 M;812,96 M;0,00;186,59 M;541,51 M;556,55 M;0,00;0,00;0,00;144,32 M;-80,54 M;63,78 M;-65,44 M;-;-;-1,66 M;-;9,58 M;6,39 M;14,31 M;-;-;-;228,24 M;-;2,64%;-1,05%;44,20%;-;9,91%;-;0,00;0,00;-;-;-;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;CTCA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R$ -303.599.000;--;;R$ -;320.748.000;SEGMENTO DE LISTAGEM;90;CTCA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
