Ano;Ativo Total - (R$);Ativo Circulante - (R$);Aplicações Financeiras - (R$);Caixa e Equivalentes de Caixa - (R$);Contas a Receber - (R$);Estoque - (R$);Ativo Não Circulante - (R$);Ativo Realizável a Longo Prazo - (R$);Investimentos - (R$);Imobilizado - (R$);Intangível - (R$);Passivo Total - (R$);Passivo Circulante - (R$);Passivo Não Circulante - (R$);Patrimônio Líquido Consolidado - (R$);Capital Social Realizado - (R$);Reserva Capital - (R$);Reserva Lucros - (R$);Participação dos Não Controladores;Receita Líquida - (R$);Custos - (R$);Lucro Bruto - (R$);Despesas/Receitas Operacionais - (R$);EBITDA - (R$);Amortização/Depreciação;EBIT - (R$);Resultado não operacional - (R$);Resultado Financeiro - (R$);Impostos - (R$);Lucro Líquido - (R$);Lucro atribuído a Controladora;Lucro atribuído a Não Controladores;CAPEX - (R$);Dívida Bruta - (R$);Dívida Líquida - (R$);ROE - (%);ROIC - (%);Margem Bruta - (%);Margem Ebitda - (%);Margem Líquida - (%);Dívida Líquida/Ebitda;Caixa Líquido Atividades Operacionais - (R$);Caixa Gerado nas Operações - (R$);Lucro Líquido - (R$);Equivalência Patrimonial - (R$);Depreciação e Amortização - (R$);Variações nos Ativos e Passivos - (R$);Caixa Líquido Atividades de Investimento - (R$);Fluxo de Caixa Livre - (R$);Caixa Líquido Atividades de Financiamento - (R$);Variação Cambial de Caixa e Equivalentes - (R$);Aumento de Caixa e Equivalentes - (R$);Saldo Inicial de Caixa e Equivalentes - (R$);Saldo Final de Caixa e Equivalentes - (R$);EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout
2021;955,13 M;737,50 M;46,01 M;238,41 M;206,17 M;94,51 M;217,63 M;38,28 M;0,00;179,00 M;0,35 M;955,13 M;231,14 M;71,15 M;652,84 M;429,73 M;0,00;223,11 M;-;1.044,34 M;-873,58 M;170,75 M;-27,69 M;144,97 M;-1,90 M;143,06 M;-;-7,57 M;-7,68 M;127,82 M;127,82 M;-;-;147,25 M;-;19,58%;16,92%;16,35%;13,88%;12,24%;-;-89,66 M;160,33 M;127,82 M;-;1,90 M;-221,77 M;-153,90 M;-243,55 M;448,56 M;0,00;205,01 M;33,41 M;238,41 M;;;;;;;;SOJA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2020;312,70 M;213,63 M;0,00;33,41 M;60,53 M;32,82 M;99,07 M;30,93 M;0,00;67,82 M;0,32 M;312,70 M;145,70 M;58,18 M;108,83 M;8,83 M;0,00;99,99 M;-;588,53 M;-466,92 M;121,60 M;-18,20 M;105,09 M;-1,69 M;103,40 M;-;-13,26 M;-19,93 M;70,21 M;-;-;-;116,68 M;-;64,51%;37,01%;20,66%;17,86%;11,93%;-;7,67 M;64,13 M;70,21 M;-;1,69 M;-35,78 M;-28,13 M;-20,46 M;32,83 M;0,00;12,38 M;21,03 M;33,41 M;;;;;;;;SOJA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2019;203,64 M;122,75 M;0,00;21,03 M;58,29 M;8,09 M;80,89 M;38,58 M;0,00;42,28 M;24,00 K;203,64 M;102,14 M;60,49 M;41,01 M;8,83 M;0,00;12,00 M;-;404,39 M;-365,02 M;39,38 M;4,56 M;45,48 M;-1,54 M;43,94 M;-;-10,55 M;-6,72 M;26,66 M;-;-;-;110,82 M;-;65,03%;24,51%;9,74%;11,25%;6,59%;-;0,37 M;43,44 M;26,66 M;-;1,54 M;-37,52 M;-12,54 M;-12,17 M;23,78 M;0,00;11,61 M;9,43 M;21,03 M;;;;;;;;SOJA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2018;129,06 M;66,67 M;0,00;9,43 M;37,55 M;12,18 M;62,40 M;30,99 M;0,00;31,38 M;33,00 K;129,06 M;50,49 M;64,23 M;14,34 M;8,83 M;0,00;5,51 M;-;311,44 M;-288,06 M;23,39 M;-11,55 M;12,34 M;-0,51 M;11,83 M;-;-5,89 M;1,24 M;7,18 M;-;-;-;81,51 M;-;50,07%;11,06%;7,51%;3,96%;2,31%;-;-19,36 M;7,25 M;7,18 M;-;0,51 M;-23,20 M;-14,78 M;-34,13 M;43,04 M;0,00;8,91 M;0,52 M;9,43 M;;;;;;;;SOJA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2017;62,94 M;41,31 M;0,00;0,52 M;18,16 M;19,70 M;21,63 M;4,49 M;0,00;17,12 M;25,00 K;62,94 M;51,95 M;5,36 M;5,63 M;7,30 M;0,00;0,00;-;209,72 M;-196,57 M;13,15 M;-15,00 M;-1,43 M;-0,42 M;-1,85 M;-;-0,67 M;0,85 M;-1,67 M;-;-;-;12,89 M;-;-29,73%;-14,58%;6,27%;-;-0,80%;-;-14,55 M;-1,73 M;-1,67 M;-;0,42 M;-12,34 M;-12,79 M;-27,33 M;27,04 M;0,00;-0,29 M;0,81 M;0,52 M;;;;;;;;SOJA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R$ 1.569.880.821;100 %;ON;R$ 6.241.038,18;117.140.326;Novo Mercado;32.172;SOJA3;Consumo não Cíclico;Agropecuária;Agricultura;;;;;;;;;
