Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;1248040000,0;418110000,0;4340000,0;135440000,0;28810000,0;1605050000,0;367000000,0;-724000000,0;691080000,0;252910000,0;;95480000,0;-653600000,0;-14520000,0;-572640000,0;298920000,0;40300000,0;;;;;;;;MNDL3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios;;-0,15;0,0;-0,12;-291,9048809399015;-0,004331272701872;10,41;;0,0;829930000,0;1972040000,0;294580000,0;0,2376714707414481;-1,0476355848816346;0,3659634195751577;-0,8286160791804132;0,1381605602824564;;0,790939226519337;-0,1904582666792133;-0,4588314477100093;;;;-0,406878453038674;;0,2604965577396342;0,002703965608548;-0,152073732718894;0,4923956850147595
2020;1109890000,0;316950000,0;3900000,0;131520000,0;29810000,0;938240000,0;324440000,0;-152780000,0;514280000,0;173190000,0;;48310000,0;-48020000,0;-9250000,0;-8960000,0;195650000,0;9310000,0;;;;;;;;MNDL3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios;;-6,92;0,0;-0,41;-61,59838081491456;-0,2768147321428571;4,94;;0,0;792940000,0;1262670000,0;191750000,0;0,3137007077856421;-0,2970755230613673;0,3367620751341681;-0,01742241580462;0,0939371548572761;;0,05864641968844089;0,9111266620013996;-0,0080728720864229;;;;-1,2550726534886765;;0,3378133526603001;0,004156718963165;-0,1914717449803353;0,661672260247336
2019;1037080000,0;261540000,00000003;2220000,0;129900000,0;30930000,0;903360000,0;279040000,0;-145310000,0;485890000,0;163530000,0;68750000,0;55360000,0;-68490000,0;2770000,0;-10360000,0;203510000,0;21710000,0;;;;;;;;MNDL3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios;;-8,41;0,0;-0,6;-58,5865997919573;-0,2394073359073359;5,04;;0,0;775539999,9999999;1182390000,0;201290000,0;0,3310008438123855;-0,2990594579019945;0,3365576570828788;-0,0213216983267817;0,1139352528350038;0,1414929304986725;0,07129585025118712;0,9987972508591064;-0,0099895861457168;2,927854545454545;0,3157818181818181;4,949597236363636;-1,3852453375541944;1,0037961746240327;0,28951912858661;0,0024574920297555;0,05003612716763;0,7003330177612217
2018;1022490000,0;247800000,0;1480000,0;135400000,0;32210000,0;878550000,0;278620000,0;-134680000,0;469950000,0;160630000,0;69420000,0;55970000,0;-51550000,0;-1360000,0;3060000,0;191200000,0;21400000,0;;;;;;;;MNDL3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios;;21,86;-0,21;-0,5;-54,30075879141703;0,8105424836601307;2,78;-7,83;0,0;774690000,0;1157170000,0;189720000,0;0,3566549632939674;-0,2865836791147994;0,3418023193956804;0,0065113309926587;0,1190977763591871;0,1477178423236514;-0,02272052272052272;0,966206652512385;0,0029926943050787;2,732929991356958;0,3082685105157015;4,901826707000864;-1,4086724086724087;1,3466537342386034;0,2820556598941438;0,0016845939331853;-0,0242987314632839;0,7240872646026173
2017;977890000,0;213270000,0;990000,0;140820000,0;34150000,0;787060000,0;330040000,0;-139210000,0;437120000,0;150750000,0;41950000,0;28420000,0;-159360000,0;51790000,0;-79160000,0;145780000,0;16970000,0;;;;;;;;MNDL3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios;;-0,71;-0,01;-0,41;-56,12718021497746;-0,0313322385042951;3,49;;0,0;764620000,0;1117100000,0;144790000,0;0,4002790995607613;-0,3184709004392386;0,3448709736456808;-0,1810944363103953;0,0650164714494875;0,0959690702781844;0,568637310538036;12,208523592085236;-0,0809498000797635;3,4514898688915374;0,4045292014302741;8,111676042908224;-1,0400833273471732;0,2632404618473896;0,2709704469798998;0,0012578456534444;1,822308233638283;0,7784700082357248
2022;;;;;;;;;;;;;;;;;;340284810,0;0,0;ON;84252,15;2480260,0;;3180,0;MNDL3;Consumo Cíclico;Tecidos. Vestuário e Calçados;Acessórios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
