Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;9897800000,0;2973560000,0;905460000,0;2534970000,0;3508560000,0;1865940000,0;4790270000,0;3241580000,0;4391380000,0;2389120000,0;1225600000,0;546590000,0;-435960000,0;47540000,0;158170000,0;5507080000,0;1755590000,0;;;;;;;;YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais;2,28;40,18;0,66;1,96;10,487534537439528;1,954155977745464;6,64;-15,54;23,75;6924240000,0;6656220000,0;4601620000,0;1,376225696705819;0,7381688671898128;0,5440476570007606;0,0360182903779677;0,1244688457842409;0,279092221579549;0,04879410657765657;0,0679109715087796;0,0159803188587362;3,754585509138381;1,432433093994778;7,2575068227806785;1,4195608314463934;2,8112670887237363;1,593598936728941;0,4852567606675456;0,086975612433451;2,025513702298594
2020;9265270000,0;2736400000,0;28410000,0;2451040000,0;3186540000,0;1292770000,0;4767530000,0;3204970000,0;3853740000,0;2108820000,0;895320000,0;356380000,0;-351410000,0;93220000,0;98180000,0;4855070000,0;1530450000,0;;;;;;;;YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais;1,55;103,64;0,0;3,17;10,369089631123575;3,1481854858423306;5,62;-25,93;144,37;6528870000,0;6060300000,0;4826660000,0;1,4628854048275182;0,8316518498912745;0,5472138753522553;0,0254765500526761;0,0924763995495285;0,232324962244469;0,030633672078053772;0,0557813608865464;0,0105965611363727;5,390988696778805;1,7093888218737434;9,934772329446456;1,5059922557777452;2,5477931760621497;2,1166951584581946;0,0219760668951166;0,2615747236096302;2,308095606346043
2019;5512490000,0;1475680000,0;12250000,0;1732220000,0;1610420000,0;674870000,0;1735270000,0;3102350000,0;3565040000,0;2044320000,0;1260970000,0;900020000,0;-242090000,0;-11790000,0;646140000,0;1651650000,0;1539200000,0;;;;;;;;YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais;1,07;22,72;0,0;4,73;10,037081538084983;0,4783620438295106;8,38;12,26;23,75;4036810000,0;2410140000,0;1639400000,0;0,9376164082310436;0,8702146399479389;0,5734353611740681;0,1812434082086035;0,2524571954311873;0,3537043062630433;0,20827437265298887;0,1868384518300378;0,1172138180749534;1,3001102325987135;1,220647596691436;7,053934956422436;0,528438119490064;5,208682721301996;2,1866137181975787;0,0181516440203298;-0,0130997088953578;2,495007170186029
2018;4102460000,0;1550630000,0;13690000,0;661110000,0;1413820000,0;1289100000,0;221950000,0;2591410000,0;3619380000,0;1986570000,0;967390000,0;772010000,0;-118830000,0;-8310000,000000001;644870000,0;817220000,0;1445820000,0;;;;;;;;YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais;6,98;11,71;0,23;2,91;8,384029354717812;0,4793041248623753;15,9;21,39;23,75;2551830000,0;1511050000,0;803530000,0;0,5732832695102477;0,7159817427294177;0,5488702484955987;0,178171399521465;0,2132989628057844;0,2672805839674198;0,24884908215990523;0,2240489580857998;0,1571910512229248;0,8306164008311022;1,4945575207517134;9,194637490567404;0,3100744382401858;8,140957670621896;1,2028779768830968;0,0106198122721278;-0,0107641092731959;2,457548077847587
2017;4021100000,0;1663480000,0;14000000,0;602420000,0;1420210000,0;842940000,0;400890000,0;2777260000,0;3378980000,0;1601870000,0;737780000,0;543510000,0;-111450000,0;-7470000,0;424590000,0;567320000,0;1113250000,0;;;;;;;;YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais;0,86;24,57;1,6;3,76;8,985312770145825;0,7279701618031513;19,56;31,09;117,96;2357620000,0;1243840000,0;553320000,0;0,5985918827575185;0,8219225920248122;0,4740690977750682;0,1256562631326613;0,1608503157757666;0,2183439973009606;0,15288089699920066;0,1602712448199774;0,1055905100594364;0,7499796687359376;1,5089186478353982;12,056168996177725;0,1992323369075996;6,619829519964109;1,9734263411393456;0,0166085367879089;-0,0137439973505547;2,632392130761354
2022;;;;;;;;;;;;;;;;;;8894800362,0;100,0;ON;47439094,24;309088851,0;Novo Mercado;41230,0;YDUQ3;Consumo Cíclico;Diversos;Serviços Educacionais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
