Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;313580000,0;95210000,0;22900000,0;213610000,0;100000,0;99610000,0;284680000,0;-70710000,0;173740000,0;48880000,0;-35540000,0;-43130000,0;-31490000,0;;-74620000,0;;-62690000,0;;;;;;;;AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;-3,15;-0,01;-3,32;-8,276085822225792;-0,1144987134816403;-1,24;;0,0;218370000,0;384290000,0;;1,2300564061240935;-0,4069874525152527;0,2813399332335674;-0,4294923448831587;-0,2482445032807643;-0,2045585357430643;1,0552962805826616;;-0,2379616046941769;;1,7639279684862128;-6,019147945976365;;-1,128612257859638;0,955827728139745;0,2298965967272362;;1,2312680902497986
2020;303490000,0;82530000,0;50890000,0;219200000,0;530000,0;114520000,0;185370000,0;3610000,0;213570000,0;57170000,0;-5680000,0;-12090000,0;-11840000,0;;-23930000,0;;-4150000,000000001;;;;;;;;AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;-8,15;0,0;53,98;0,4225239685791982;-0,3570369410781446;1,88;;0,0;220960000,0;299880000,0;;1,0288430022943298;0,0169031230978133;0,2676874092803296;-0,1120475722245633;-0,0566090743081893;-0,0265954956220442;-6,628808864265928;;-0,0788493854822234;;0,7306338028169015;-37,662063028169015;;-0,4797297297297297;0,7206601466992665;0,4443765281173594;;1,0016412323828252
2019;262640000,0;41860000,0;27230000,0;218420000,0;950000,0;59320000,0;176110000,0;27220000,0;114840000,0;26500000,0;-28500000,0;-40030000,0;-2530000,0;;-42560000,0;;-28560000,0;;;;;;;;AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;-1,92;0,0;3,0;3,1859009486775;-0,2007493890977443;-10,1;;0,0;220780000,0;235420000,0;;1,9102229188436084;0,2370254266805991;0,23075583420411;-0,3706025774991292;-0,348571926158133;-0,248171368861024;-1,5635562086700956;;-0,162046908315565;;1,0021052631578948;-7,505983087719298;;-11,264822134387352;0,7056641942009441;0,4590357383681726;;1,862770097526994
2018;255270000,0;22870000,0;14390000,0;229420000,0;1380000,0;33120000,0;182100000,0;40050000,0;78110000,0;31420000,0;-45020000,0;-52400000,0;-2640000,0;;-55040000,0;;-34290000,0;;;;;;;;AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;-7,06;-0,04;9,7;4,687558155567005;-0,1552306322674418;-15,48;;0,0;232400000,0;215220000,0;;2,954807323006017;0,5127384457815901;0,4022532326206631;-0,7046472922801178;-0,6708488029701702;-0,5763666623991807;-1,374282147315855;;-0,2156148391898774;;0,7616614837849844;-4,7516774322523325;;-17,053030303030305;0,6905193236714977;0,4344806763285024;;2,738708462424785
2017;285120000,0;47180000,0;33220000,0;234750000,0;1900000,0;44750000,0;152810000,0;87560000,0;117680000,0;45650000,0;-9120000,0;-16590000,0;-4470000,0;;-21050000,0;;-20650000,0;;;;;;;;AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;;;;10,248254484430635;-0,405885700712589;-10,57;;0,0;237940000,0;197560000,0;;2,0109619306594158;0,7440516655336505;0,3879163834126444;-0,1788749150237933;-0,1409755268524813;-0,0774983004758667;-0,24040657834627685;;-0,0738285634118967;;2,264254385964912;-23,456197149122808;;-2,040268456375839;1,0543016759776536;0,7423463687150837;;1,8178154146838883
2022;;;;;;;;;;;;;;;;;;213920518,0;0,0;ON;4125,0;8543894,0;;3670,0;AHEB3;Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
