Ano;Ativo Total;Ativo Circulante;Caixa e Eqv. de Caixa;Imobilizado;Intangível;Passivo Circulante;Passivo Não Circulante;Patrimônio Líquido;Receita Líquida;Lucro Bruto;EBITDA;EBIT;Resultado Financeiro;IR;Lucro Líquido;Dívida Bruta;Caixa gerado nas Op;EV;Tag Along;Tag Along Tipo;Liquidez;Papeis;Listagem;Acionistas;Ticker;Setor;Subsetor;Segmento;DY;P/L;PegRatio;P/VPA;VPA;LPA;CAGR Receita;CAGR Lucros;Payout;Ativo Não Circulante;Passivo Total;Dívida Líquida;CAPEX;Capital de Giro;Margem Bruta;Margem Líquida;Margem EBIT;Margem EBITDA;ROE;ROIC;ROA;Dív Líq / EBITDA;Conversão de Caixa;EV / EBITDA;Dív Líq / PL;Cobertura de Juros;Liquidez Corrente;Liquidez Imediata;Imposto;EV / Receita
2021;318750000,0;132140000,0;3470000,0;27740000,0;2850000,0;122490000,0;71280000,0;124980000,0;240100000,0;112580000,0;43350000,0;36090000,0;-14790000,0;6190000,0;27590000,0;97970000,0;31940000,0;;;;;;;;CAMB4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;;;0,0;;2,956351591;1,532260964;-2,78;;20,71;186610000,0;193770000,0;94500000,0;0,127405248;0,520533111;0,468887963;0,114910454;0,15031237;0,180549771;0,2207553208513362;0,189638932;0,086556863;2,179930796;0,736793541;7,192489412;0,756120979;2,931034483;1,078781941;0,028328843;0,171515655;1,298602316
2020;281580000,0;104790000,0;4000000,0;26120000,0;2450000,0;109740000,0;74840000,0;97010000,0;156500000,0;70430000,0;21810000,0;15860000,0;15430000,0;-9280000,0;22030000,0;71630000,0;48800000,0;;;;;;;;CAMB4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;;;0,0;;2,2947325;1,918977758;-11,36;;0,0;176790000,0;184570000,0;67630000,0;0,182555911;0,619872204;0,450031949;0,140766773;0,101341853;0,139361022;0,2270899907226059;0,039018027;0,078237091;3,10087116;2,237505731;14,29593838;0,697144624;1,413480233;0,954893384;0,03644979;-0,585119798;1,992296588
2019;243240000,0;110310000,0;9050000,0;28030000,0;3490000,0;97970000,0;71290000,0;73970000,0;219840000,0;96860000,0;45100000,0;37940000,0;-25500000,0;7770000,0;20210000,0;79130000,0;51970000,0;;;;;;;;CAMB4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;;1,19;0,0;0,32;1,749730574;2,091790203;-4,98;7,43;0,0;132930000,0;169270000,0;70080000,0;0,143377001;0,33647198;0,440593159;0,091930495;0,172580058;0,205149199;0,27321887251588484;0,298563031;0,083086663;1,553880266;1,15232816;6,913401685;0,947411113;1,768627451;1,125956926;0,092375217;0,204797048;1,418278821
2018;214940000,0;113260000,0;8900000,0;55850000,0;740000,0;133490000,0;57350000,0;24100000,0;247490000,0;101010000,0;;28940000,0;-19490000,0;7190000,0;16650000,0;64760000,0;19200000,0;;;;;;;;CAMB4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;;6,46;-0,1;4,42;0,570075799;2,539043844;-2,67;129,04;0,0;101680000,0;190840000,0;55860000,0;0,228655703;0,097377672;0,408137703;0,067275445;0,116934018;;0,6908713692946058;0,406594643;0,077463478;;;;2,317842324;;0,848453068;0,066671661;0,248445059;1,25982632
2017;221650000,0;128340000,0;12650000,0;58820000,0;700000,0;169240000,0;45700000,0;6720000,0;259460000,0;102610000,0;;19950000,0;-10980000,0;35760000,0;44770000,0;105520000,0;6490000,0;;;;;;;;CAMB4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;;0,74;0,0;4,76;0,158958895;0,944272504;1,1;;0,0;93310000,0;214930000,0;92870000,0;0,229399522;0,025899946;0,395475218;0,172550682;0,076890465;;6,662202380952381;0,496347113;0,201985112;;;;13,81994048;;0,758331364;0,074745923;1,792481203;1,201705141
2022;;;;;;;;;;;;;;;;;;311794416,0;0,0;PN;;42275080,0;SEGMENTO DE LISTAGEM;6878,0;CAMB4;Consumo Cíclico;Tecidos. Vestuário e Calçados;Calçados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
